Fluke Part Number,UPC CODE
2732151,0 95969 36725 7
2732160,0 95969 36726 4
2732172,0 95969 36727 1
2732185,0 95969 36728 8
2732197,0 95969 36729 5
2732212,0 95969 36731 8
2727851,0 95969 36544 4
2732235,0 95969 36733 2
2732247,0 95969 36734 9
2732258,0 95969 36735 6
2732273,0 95969 36737 0
2734552,0 95969 36953 4
2732299,0 95969 36739 4
2732321,0 95969 36742 4
3033017,0 95969 41671 9
2727919,0 95969 36550 5
2727885,0 95969 36547 5
3037808,0 95969 41745 7
3037813,0 95969 41746 4
3086905,0 95969 43608 3
3086910,0 95969 43609 0
4718977,0 95969 80627 5
2730690,0 95969 36579 6
2730713,0 95969 36581 9
3472723,0 95969 49882 1
3472738,0 95969 49883 8
3804934,0 95969 56351 2
3804941,0 95969 56352 9
3434877,0 95969 49267 6
2730760,0 95969 36586 4
3730013,0 95969 55670 5
3729945,0 95969 55663 7
3729950,0 95969 55664 4
3729977,0 95969 55666 8
2730785,0 95969 36588 8
2740452,0 95969 37000 4
2740465,0 95969 37001 1
3434889,0 95969 49268 3
2730810,0 95969 36591 8
3729961,0 95969 55665 1
3729989,0 95969 55667 5
2727928,0 95969 36551 2
3730024,0 95969 55671 2
3730036,0 95969 55672 9
3524986,0 95969 52315 8
3524999,0 95969 52316 5
4306513,0 95969 66091 4
4018624,0 95969 60036 1
4018636,0 95969 60037 8
4018649,0 95969 60038 5
4018651,0 95969 60039 2
4210333,0 95969 64085 5
4210340,0 95969 64086 2
3730335,0 95969 55701 6
2730991,0 95969 36609 0
2731024,0 95969 36612 0
4251767,0 95969 64873 8
3730288,0 95969 55696 5
4091293,0 95969 61009 4
3730320,0 95969 55700 9
4091316,0 95969 61010 0
4227515,0 95969 64256 9
4560537,0 95969 77085 9
4560543,0 95969 77086 6
4588254,0 95969 77878 7
4560555,0 95969 77087 3
4560562,0 95969 77088 0
4560570,0 95969 77089 7
3352363,0 95969 47288 3
2731097,0 95969 36619 9
4416090,0 95969 69538 1
4416104,0 95969 69539 8
3435058,0 95969 49283 6
4867981,0 95969 84272 3
4867996,0 95969 84273 0
4313887,0 95969 66476 9
4313893,0 95969 66477 6
4313868,0 95969 66474 5
4313854,0 95969 66473 8
2732515,0 95969 36759 2
2732526,0 95969 36760 8
3473003,0 95969 49895 1
4589825,0 95969 77912 8
3474946,0 95969 49918 7
4377939,0 95969 68146 9
4544583,0 95969 76618 0
4467296,0 95969 72454 8
3472789,0 95969 49886 9
2731177,0 95969 36627 4
3378287,0 95969 48284 4
2732604,0 95969 36767 7
2732619,0 95969 36768 4
3467429,0 95969 49768 8
4726243,0 95969 80880 4
4313925,0 95969 66480 6
2732643,0 95969 36771 4
3459521,0 95969 49544 8
3311826,0 95969 46380 5
3475094,0 95969 49933 0
3475100,0 95969 49934 7
3026965,0 95969 41474 6
2731189,0 95969 36628 1
3026809,0 95969 41458 6
3511514,0 95969 52026 3
3026827,0 95969 41460 9
4416119,0 95969 69540 4
4868025,0 95969 84276 1
4726228,0 95969 80878 1
4726219,0 95969 80877 4
3026830,0 95969 41461 6
2731217,0 95969 36631 1
3026853,0 95969 41463 0
3026866,0 95969 41464 7
4724171,0 95969 80806 4
2727739,0 95969 36532 1
3156830,0 95969 44336 4
2732730,0 95969 36779 0
2732794,0 95969 36784 4
3016966,0 95969 41378 7
3027072,0 95969 41485 2
2732869,0 95969 36791 2
4160685,0 95969 62487 9
4160715,0 95969 62490 9
2732878,0 95969 36792 9
2740441,0 95969 36999 2
3542862,0 95969 52743 9
1990707,0 95969 02861 5
1561550,0 95969 08517 5
1990718,0 95969 02862 2
2095180,0 95969 24148 9
1990688,0 95969 02859 2
1561610,0 95969 08523 6
1561631,0 95969 08525 0
3368658,0 95969 47813 7
3368664,0 95969 47814 4
1561646,0 95969 08526 7
1990695,0 95969 02860 8
3157013,0 95969 44339 5
3157024,0 95969 44340 1
1565777,0 95969 11848 4
2637713,0 95969 34827 0
2278800,0 95969 26898 1
4129187,0 95969 62012 3
3311832,0 95969 46381 2
2670779,0 95969 35325 0
2670787,0 95969 35326 7
3068175,0 95969 42506 3
4594135,0 95969 77988 3
3068182,0 95969 42507 0
3503207,0 95969 51618 1
4227490,0 95969 64255 2
3015690,0 95969 41341 1
4689984,0 95969 79556 2
4109553,0 95969 61431 3
4109566,0 95969 61432 0
4109575,0 95969 61433 7
4109582,0 95969 61434 4
4109594,0 95969 61435 1
4909782,0 95969 85383 5
2732993,0 95969 36804 9
3052401,0 95969 41934 5
3026976,0 95969 41475 3
3030898,0 95969 41654 2
3052348,0 95969 41928 4
3052353,0 95969 41929 1
3730217,0 95969 55689 7
4222120,0 95969 64210 1
4357839,0 95969 67464 5
3475009,0 95969 49924 8
3477279,0 95969 49985 9
3435099,0 95969 49285 0
3474954,0 95969 49919 4
4160798,0 95969 62498 5
3503178,0 95969 51616 7
2734565,0 95969 36954 1
2733041,0 95969 36809 4
2733119,0 95969 36816 2
2733162,0 95969 36821 6
2733170,0 95969 36822 3
4918051,0 95969 85629 4
4918060,0 95969 85630 0
2733222,0 95969 36826 1
2733231,0 95969 36827 8
2733254,0 95969 36829 2
4726237,0 95969 80879 8
4394419,0 95969 69080 5
2727700,0 95969 36529 1
2727721,0 95969 36531 4
3239635,0 95969 45045 4
4375950,0 95969 68028 8
2733325,0 95969 36836 0
3503229,0 95969 51620 4
2734454,0 95969 36943 5
2733340,0 95969 36838 4
2731504,0 95969 36660 1
3474968,0 95969 49920 0
4091231,0 95969 61008 7
3467476,0 95969 49772 5
3467465,0 95969 49771 8
2733461,0 95969 36850 6
3730060,0 95969 55675 0
3730072,0 95969 55676 7
3068194,0 95969 42508 7
4425277,0 95969 69727 9
3435073,0 95969 49284 3
4313916,0 95969 66479 0
3052366,0 95969 41930 7
3477333,0 95969 49991 0
3052382,0 95969 41932 1
3474979,0 95969 49921 7
3730242,0 95969 55692 7
4091210,0 95969 61007 0
4160800,0 95969 62499 2
4160817,0 95969 62500 5
2733511,0 95969 36854 4
2733527,0 95969 36855 1
2733530,0 95969 36856 8
2733548,0 95969 36857 5
2766054,0 95969 37690 7
3730008,0 95969 55669 9
4210316,0 95969 64083 1
3311961,0 95969 46388 1
4221983,0 95969 64200 2
4210325,0 95969 64084 8
3311871,0 95969 46384 3
3027060,0 95969 41484 5
3730049,0 95969 55673 6
3730051,0 95969 55674 3
3033042,0 95969 41672 6
3311803,0 95969 46378 2
3467441,0 95969 49769 5
3107749,0 95969 44051 6
2696277,0 95969 36246 7
4588279,0 95969 77880 0
3068232,0 95969 42512 4
3034444,0 95969 41704 4
4467308,0 95969 72455 5
4634011,0 95969 78586 0
3068244,0 95969 42513 1
4726255,0 95969 80881 1
3237875,0 95969 45039 3
4692870,0 95969 79736 8
2817785,0 95969 39888 6
3730221,0 95969 55690 3
3730239,0 95969 55691 0
3477287,0 95969 49986 6
3503169,0 95969 51615 0
3052394,0 95969 41933 8
3730150,0 95969 55684 2
3730161,0 95969 55685 9
3730106,0 95969 55679 8
3730085,0 95969 55677 4
3730114,0 95969 55680 4
3730123,0 95969 55681 1
3730138,0 95969 55682 8
2817797,0 95969 39889 3
3027085,0 95969 41486 9
2731543,0 95969 36664 9
3068259,0 95969 42514 8
2733660,0 95969 36867 4
3503184,0 95969 51617 4
4160703,0 95969 62489 3
2826634,0 95969 40017 6
2826652,0 95969 40019 0
3477293,0 95969 49987 3
3477302,0 95969 49988 0
3311844,0 95969 46382 9
3390352,0 95969 48657 6
2734431,0 95969 36941 1
4294491,0 95969 65877 5
3804929,0 95969 56350 5
3804918,0 95969 56349 9
3804809,0 95969 56338 3
2734446,0 95969 36942 8
3068271,0 95969 42516 2
3068280,0 95969 42517 9
3099130,0 95969 43757 8
4700987,0 95969 80030 3
4160821,0 95969 62501 2
2734332,0 95969 36931 2
2734100,0 95969 36908 4
2477961,0 95969 29871 1
4410441,0 95969 69375 2
4794922,0 95969 82465 1
4794979,0 95969 82470 5
4410418,0 95969 69372 1
4395416,0 95969 69098 0
4410490,0 95969 69380 6
4410429,0 95969 69373 8
4410452,0 95969 69376 9
1623031,0 95969 10857 7
4600755,0 95969 78125 1
2768703,0 95969 37696 9
946470,0 95969 02525 6
4410515,0 95969 69382 0
4410503,0 95969 69381 3
4820410,0 95969 82907 6
4400495,0 95969 69195 6
4699316,0 95969 79965 2
4699325,0 95969 79966 9
4401595,0 95969 69205 2
4467750,0 95969 72456 2
4465607,0 95969 72419 7
4465599,0 95969 72418 0
4699302,0 95969 79964 5
4699357,0 95969 79969 0
4699333,0 95969 79967 6
4636915,0 95969 78659 1
4699340,0 95969 79968 3
4401588,0 95969 69204 5
4465618,0 95969 72420 3
4459439,0 95969 72356 5
4465665,0 95969 72423 4
4459442,0 95969 72357 2
4629295,0 95969 78527 3
4629301,0 95969 78528 0
4582763,0 95969 77781 0
4582928,0 95969 77784 1
4401602,0 95969 69206 9
4401563,0 95969 69202 1
4465652,0 95969 72422 7
4401556,0 95969 69201 4
4465641,0 95969 72421 0
4459421,0 95969 72355 8
4467777,0 95969 72457 9
4467789,0 95969 72458 6
3078875,0 95969 43452 2
2538783,0 95969 32417 5
2538790,0 95969 32418 2
2538803,0 95969 32419 9
4296029,0 95969 65920 8
4296018,0 95969 65919 2
2538815,0 95969 32420 5
4296041,0 95969 65922 2
4636971,0 95969 78662 1
1564551,0 95969 09518 1
1564560,0 95969 09519 8
1564549,0 95969 09520 4
2718166,0 95969 36279 5
3463576,0 95969 49661 2
4989200,0 95969 87238 6
4684050,0 95969 79446 6
3307768,0 95969 46265 5
2740201,0 95969 36993 0
3340186,0 95969 46978 4
2675778,0 95969 35410 3
3036206,0 95969 41714 3
3301271,0 95969 46171 9
4017176,0 95969 59974 0
2727486,0 95969 36523 9
2075004,0 95969 24525 8
2074974,0 95969 24524 1
2670150,0 95969 35321 2
4636967,0 95969 78661 4
2550519,0 95969 32890 6
2117440,0 95969 24907 2
4637005,0 95969 78665 2
4566209,0 95969 77298 3
1777605,0 95969 13672 3
4307718,0 95969 66098 3
2068693,0 95969 23642 3
1622027,0 95969 10842 3
708289,0 95969 08355 3
708297,0 95969 08356 0
4692778,0 95969 79734 4
4359042,0 95969 67483 6
4343731,0 95969 67196 5
4343746,0 95969 67197 2
4343754,0 95969 67198 9
4325492,0 95969 66688 6
2577115,0 95969 34423 4
2577126,0 95969 34424 1
2577144,0 95969 34426 5
2577159,0 95969 34427 2
2577132,0 95969 34425 8
2577091,0 95969 34421 0
4359377,0 95969 67486 7
2577103,0 95969 34422 7
4359389,0 95969 67487 4
2104706,0 95969 24507 4
4546944,0 95969 76680 7
4884263,0 95969 85012 4
4546980,0 95969 76684 5
4884274,0 95969 85013 1
4547054,0 95969 76691 3
4884288,0 95969 85014 8
4601134,0 95969 78135 0
2433042,0 95969 29089 0
3807928,0 95969 56443 4
3807937,0 95969 56444 1
3807919,0 95969 56442 7
4472387,0 95969 72476 0
4709848,0 95969 80303 8
2427883,0 95969 28866 8
3504709,0 95969 51649 5
2427890,0 95969 28867 5
3665021,0 95969 55091 8
4977402,0 95969 86878 5
4977457,0 95969 86883 9
3665127,0 95969 55098 7
3665056,0 95969 55092 5
4977519,0 95969 86889 1
4977469,0 95969 86884 6
3665111,0 95969 55097 0
2157280,0 95969 26296 5
4691215,0 95969 79662 0
2517605,0 95969 31976 8
4692725,0 95969 79729 0
4692716,0 95969 79728 3
2840276,0 95969 40121 0
3452969,0 95969 49446 5
4325155,0 95969 66684 8
4325170,0 95969 66686 2
4325162,0 95969 66685 5
4325181,0 95969 66687 9
2729698,0 95969 36556 7
4829532,0 95969 83118 5
2432932,0 95969 29078 4
2433021,0 95969 29087 6
4152628,0 95969 62374 2
4152637,0 95969 62375 9
4152643,0 95969 62376 6
2840252,0 95969 40119 7
2840265,0 95969 40120 3
3620217,0 95969 54478 8
4709907,0 95969 80308 3
4709934,0 95969 80311 3
3780249,0 95969 55783 2
4696001,0 95969 79853 2
4695932,0 95969 79846 4
4695861,0 95969 79839 6
3610452,0 95969 53748 3
2435050,0 95969 29136 1
3676410,0 95969 55970 6
3676405,0 95969 55969 0
4636998,0 95969 78664 5
2539100,0 95969 32435 9
2539117,0 95969 32436 6
2539121,0 95969 32437 3
2539195,0 95969 32444 1
4571403,0 95969 77318 8
2740300,0 95969 36997 8
3503813,0 95969 51635 8
4910310,0 95969 85409 2
2548094,0 95969 32790 9
2548117,0 95969 32792 3
2796187,0 95969 39193 1
648219,0 95969 05311 2
648227,0 95969 05312 9
4297115,0 95969 65946 8
2098633,0 95969 24264 6
4910269,0 95969 85404 7
4910393,0 95969 85417 7
4910331,0 95969 85411 5
4910400,0 95969 85418 4
4910524,0 95969 85425 2
4910536,0 95969 85426 9
4910560,0 95969 85429 0
4968631,0 95969 86679 8
4695814,0 95969 79834 1
4811469,0 95969 82689 1
4811457,0 95969 82688 4
4542299,0 95969 76554 1
4542300,0 95969 76555 8
4827806,0 95969 83077 5
4561297,0 95969 77120 7
4542264,0 95969 76551 0
4542273,0 95969 76552 7
4542286,0 95969 76553 4
4542258,0 95969 76550 3
4489970,0 95969 72724 2
4489981,0 95969 72725 9
4489996,0 95969 72726 6
3891113,0 95969 57764 9
3891136,0 95969 57766 3
3891124,0 95969 57765 6
3891149,0 95969 57767 0
3891172,0 95969 57770 0
3891160,0 95969 57769 4
3891185,0 95969 57771 7
3891197,0 95969 57772 4
4105701,0 95969 61341 5
4920964,0 95969 85705 5
4920973,0 95969 85706 2
3024485,0 95969 41403 6
4920986,0 95969 85707 9
2650136,0 95969 35138 6
4531769,0 95969 75793 5
4531778,0 95969 75794 2
4531784,0 95969 75795 9
4344712,0 95969 67202 3
4920999,0 95969 85708 6
4144616,0 95969 62236 3
4821069,0 95969 82923 6
2839604,0 95969 40111 1
4389436,0 95969 68701 0
4116762,0 95969 61566 2
4637381,0 95969 78672 0
4116743,0 95969 61564 8
2673962,0 95969 35358 8
4792336,0 95969 82238 1
4890129,0 95969 85062 9
4945842,0 95969 86207 3
4395217,0 95969 69095 9
4358028,0 95969 67465 2
4706566,0 95969 80196 6
4706548,0 95969 80194 2
4706582,0 95969 80197 3
4706594,0 95969 80198 0
4563561,0 95969 77252 5
4534519,0 95969 75849 9
4588378,0 95969 77885 5
4563577,0 95969 77253 2
4920613,0 95969 85683 6
4920651,0 95969 85684 3
4920660,0 95969 85685 0
4920703,0 95969 85689 8
4920715,0 95969 85690 4
4920726,0 95969 85691 1
4920767,0 95969 85695 9
4920771,0 95969 85696 6
4920780,0 95969 85697 3
4921133,0 95969 85720 8
4921140,0 95969 85721 5
4871417,0 95969 84376 8
4756213,0 95969 81522 2
2650124,0 95969 35137 9
4871400,0 95969 84375 1
4756208,0 95969 81521 5
2673937,0 95969 35357 1
2673928,0 95969 35356 4
4871393,0 95969 84374 4
4756236,0 95969 81523 9
2630732,0 95969 34609 2
2637641,0 95969 34825 6
2630759,0 95969 34611 5
2637629,0 95969 34823 2
4717827,0 95969 80609 1
4921125,0 95969 85719 2
4715389,0 95969 80504 9
4715392,0 95969 80505 6
2584181,0 95969 34499 9
4779032,0 95969 82046 2
4116638,0 95969 61553 2
4116650,0 95969 61555 6
4116661,0 95969 61556 3
4116689,0 95969 61558 7
4116692,0 95969 61559 4
4116719,0 95969 61561 7
4778976,0 95969 82040 0
4778990,0 95969 82042 4
3108534,0 95969 44055 4
3889571,0 95969 57739 7
3387174,0 95969 48493 0
3108541,0 95969 44056 1
3110957,0 95969 44147 6
3108552,0 95969 44057 8
3110969,0 95969 44148 3
3108565,0 95969 44058 5
3110978,0 95969 44149 0
3108576,0 95969 44059 2
3108583,0 95969 44060 8
3108590,0 95969 44061 5
3312894,0 95969 46393 5
3108601,0 95969 44062 2
3108612,0 95969 44063 9
3313059,0 95969 46409 3
3108620,0 95969 44064 6
3108635,0 95969 44065 3
3108647,0 95969 44066 0
3387195,0 95969 48494 7
3108658,0 95969 44067 7
3108664,0 95969 44068 4
3108673,0 95969 44069 1
3312941,0 95969 46398 0
3312934,0 95969 46397 3
3108686,0 95969 44070 7
3108699,0 95969 44071 4
3108702,0 95969 44072 1
3312976,0 95969 46401 7
3312965,0 95969 46400 0
3312952,0 95969 46399 7
3108716,0 95969 44073 8
3108725,0 95969 44074 5
3312929,0 95969 46396 6
3313044,0 95969 46408 6
3312907,0 95969 46394 2
3312918,0 95969 46395 9
3313015,0 95969 46405 5
3313003,0 95969 46404 8
3108733,0 95969 44075 2
3108740,0 95969 44076 9
3312990,0 95969 46403 1
3312983,0 95969 46402 4
3108757,0 95969 44077 6
3108769,0 95969 44078 3
3313032,0 95969 46407 9
3313026,0 95969 46406 2
3313067,0 95969 46410 9
3030923,0 95969 41655 9
4531791,0 95969 75796 6
4531804,0 95969 75797 3
4531819,0 95969 75798 0
4531828,0 95969 75799 7
4954311,0 95969 86406 0
4693803,0 95969 79742 9
2539223,0 95969 32447 2
4921003,0 95969 85709 3
4921015,0 95969 85710 9
4921026,0 95969 85711 6
4637328,0 95969 78666 9
4637337,0 95969 78667 6
4637411,0 95969 78675 1
4637343,0 95969 78668 3
4637355,0 95969 78669 0
4637427,0 95969 78676 8
4921032,0 95969 85712 3
4921044,0 95969 85713 0
4921067,0 95969 85714 7
4921116,0 95969 85718 5
4637362,0 95969 78670 6
4637370,0 95969 78671 3
4637430,0 95969 78677 5
4921071,0 95969 85715 4
4921080,0 95969 85716 1
4921098,0 95969 85717 8
3345753,0 95969 47173 2
3024413,0 95969 41396 1
3024424,0 95969 41397 8
3024451,0 95969 41400 5
3024460,0 95969 41401 2
4637396,0 95969 78673 7
4637409,0 95969 78674 4
3949777,0 95969 58705 1
4531725,0 95969 75789 8
4531733,0 95969 75790 4
4621205,0 95969 78411 5
4621231,0 95969 78414 6
3345766,0 95969 47174 9
3024436,0 95969 41398 5
3024449,0 95969 41399 2
3949761,0 95969 58704 4
4589748,0 95969 77910 4
4946241,0 95969 86210 3
2539565,0 95969 32481 6
4944790,0 95969 86185 4
4589220,0 95969 77904 3
3024689,0 95969 41423 4
3024704,0 95969 41425 8
4026310,0 95969 60202 0
2540445,0 95969 32569 1
2540450,0 95969 32570 7
2540461,0 95969 32571 4
4531837,0 95969 75800 0
4531843,0 95969 75801 7
4531855,0 95969 75802 4
2540548,0 95969 32579 0
2540553,0 95969 32580 6
2540624,0 95969 32587 5
2540636,0 95969 32588 2
2540649,0 95969 32589 9
2540660,0 95969 32591 2
2540697,0 95969 32594 3
2540744,0 95969 32599 8
3671726,0 95969 56508 0
3276205,0 95969 46051 4
2637481,0 95969 34822 5
2423224,0 95969 28797 5
2423135,0 95969 28788 3
2423164,0 95969 28791 3
2423199,0 95969 28794 4
2423031,0 95969 28778 4
2423079,0 95969 28782 1
2423101,0 95969 28785 2
2570235,0 95969 34013 7
2802432,0 95969 39358 4
2441853,0 95969 29201 6
2675277,0 95969 35387 8
2675303,0 95969 35390 8
2675292,0 95969 35389 2
2742690,0 95969 37054 7
2742683,0 95969 37053 0
2454021,0 95969 29352 5
2675289,0 95969 35388 5
2675359,0 95969 35395 3
2675344,0 95969 35394 6
2675534,0 95969 35408 0
4121552,0 95969 61740 6
2675552,0 95969 35409 7
2675468,0 95969 35401 1
2653346,0 95969 35286 4
2675479,0 95969 35402 8
2423005,0 95969 28775 3
3346094,0 95969 47184 8
2826215,0 95969 40011 4
2723629,0 95969 36412 6
2423249,0 95969 28799 9
2423236,0 95969 28798 2
2771721,0 95969 37868 0
2675518,0 95969 35406 6
3460346,0 95969 49581 3
3460387,0 95969 49585 1
3460439,0 95969 49590 5
4326955,0 95969 66706 7
4326962,0 95969 66707 4
4338164,0 95969 67056 2
4326996,0 95969 66708 1
4338173,0 95969 67057 9
2679822,0 95969 35531 5
2679831,0 95969 35532 2
2418208,0 95969 28751 7
2519364,0 95969 32028 3
2666111,0 95969 35309 0
2631538,0 95969 34632 0
4131397,0 95969 62032 1
664714,0 95969 06181 0
664711,0 95969 06180 3
2740212,0 95969 36994 7
3387163,0 95969 48492 3
4366444,0 95969 67827 8
4485211,0 95969 72562 0
4375741,0 95969 68023 3
4375752,0 95969 68024 0
4426115,0 95969 69779 8
4383315,0 95969 68331 9
3413459,0 95969 68189 6
4354922,0 95969 67438 6
3440365,0 95969 49338 3
3511872,0 95969 52036 2
2679481,0 95969 35442 4
2679470,0 95969 35441 7
2648707,0 95969 35051 8
2648695,0 95969 35050 1
2648803,0 95969 35061 7
2648718,0 95969 35052 5
2674987,0 95969 35377 9
2648729,0 95969 35053 2
2679462,0 95969 35440 0
2679455,0 95969 35439 4
2648741,0 95969 35055 6
2648859,0 95969 35066 2
2648844,0 95969 35065 5
2648826,0 95969 35063 1
3374437,0 95969 48073 4
3986002,0 95969 59152 2
3530837,0 95969 52414 8
3530828,0 95969 52413 1
3822018,0 95969 56523 3
3530862,0 95969 52417 9
3530855,0 95969 52416 2
3530819,0 95969 52412 4
4489229,0 95969 72686 3
4636786,0 95969 78658 4
3542635,0 95969 52741 5
4905024,0 95969 85279 1
4878251,0 95969 84720 9
4550041,0 95969 76770 5
4454396,0 95969 72311 4
4528249,0 95969 75704 1
4551330,0 95969 76796 5
3530843,0 95969 52415 5
643684,0 95969 08980 7
713057,0 95969 08981 4
713099,0 95969 10953 6
717215,0 95969 08982 1
803293,0 95969 09576 1
812396,0 95969 08983 8
812404,0 95969 08984 5
847793,0 95969 08986 9
871194,0 95969 08987 6
871210,0 95969 08988 3
871223,0 95969 08936 4
943121,0 95969 08990 6
203403,0 95969 04599 5
203406,0 95969 04600 8
892583,0 95969 01265 2
871207,0 95969 01269 0
871178,0 95969 01267 6
871215,0 95969 01270 6
871202,0 95969 01268 3
203411,0 95969 04601 5
203414,0 95969 04602 2
871173,0 95969 01266 9
3345794,
4755256,0 95969 81450 8
4755274,0 95969 81452 2
4152258,0 95969 62348 3
